sentence,label
 超越 好莱坞 的 张艺谋 风格 的 中国 大片 ， 大 场面 ， 大 背景 ， 大手笔 ， 超 震撼 ， 哈哈 ， 好看 ， 我 喜欢 ！ 绝对 大 票房 啊 ！,1
 非常 好 ， 特别 喜欢 ！,1
 非常 值得 看 的 一部 电影,1
 我 不 太 清楚 这个 电影 在 豆瓣 的 评分 为啥 这么 低 ， 难道 豆瓣 现在 汇集 的 都 是 装孙子 或者 喷子 吗 。 一个 中国 标签 的 好莱坞 式 电影 。 拍 的 不 比美 队 或者 钢铁 侠强 多 了 么 ， 包括 剧情 。 你们 有 什么 好 黑 的 。 我刚 看 完 ， 我 觉得 挺 震撼 的 。,1
 很 好看 哦,1
 整部 电影 给 我 的 感觉 就是 讲 爱情故事 ， 所以 说 名字 应该 叫 《 景田 还 未 开始 就 已经 结束 的 初恋 》 ， 整部 剧 我 总 感觉 像 商业 宣传片 ， 张涵予 大哥 的 死 总 感觉 很 怪异 ， 不过 场面 和 特效 很 震撼 ， 还是 支持 张艺谋 导演 作品 ， 值得 看,1
 非常 好看 ， 大家 可以 看看,1
 超 喜欢,1
 我 觉得 很 好看 对 你们 很无语,1
 因为 是 国产 ， 所以 要 黑 的 那么 惨 吗 … 但是 真的 觉得 有 下功夫 呀 … 还有 ， 片尾曲 真的 挺 好听 的,1
 很 好看 ， 感觉 每个 人 的 演技 都 很 好 啊,1
 国产 剧 ， 不错 ！,1
 好看 ， 看 了 还 想 看 ， 拍 的 很 好 ， 点赞,1
 好看 ， 超 喜欢 王俊凯 ， 加油 ！,1
 不错 ， 值得 去 电影院 看,1
 看 完 觉得 还 行 ， 没 那么 差 ， 很多 人 打 低分 估计 都 是因为 那帮 演员,1
 精彩 ， 惊险 ， 惊 su,1
 张艺谋 老师 演 的 很 好 ， 剧情 也 很 流畅 ， 总而言之 ， 花钱买 的 票 很值,1
 电影 震撼 ， 很 好,1
 很 不错 ， 值得 看,1
 非常 好看 ， 很 精彩 。,1
 非常 好看 ！ ！ 喜欢 王俊凯 ? ?,1
 我 觉得 真的 很 好 了 ， 不 知道 为什么 这么 多人 抨击,1
 看 完 还 不错呀 ， 消磨 时间 画面 都 不错 ， 不值 十分 ， 但 也 不是 五分 。 黑子 太 多 ， 五星,1
 我要 给 老张 点 32 个赞 ， 这样 的 片子 让 我 大大 过 了 一把 中国 风 的 瘾 。,1
 特效 震撼 ， 几万只 饕餮 一起 出来 的 时候 真 吓 到 我 了 ！ 然后 那个 小 士兵 演 的 还 不错 前期 是 挺 怂 的 哈哈 ， 最后 引爆 自己 的 那个 眼神 真的 看 的 我 想 哭 啊 ， 勇哥 你 是 个 大 英雄 ！ 是 一部 不错 的 好莱坞 爆米花 电影,1
 从此 部 电影 可以 看出 ， 豆瓣 电影 已死 。 因为 瞎 。,1
 看 电影 百分之 80 的 人会 想到 好莱坞 ， 为何 特效 大片 只有 外国 的 好 ， 因为 tm 这帮 煞笔 看不懂 外国 片 ， 所以 说好 ， 为什么 说 中国 的 特效 大片 不好 ， 因为 tm 的 这 是 中国,1
 明星 少点 就 更好 了 ， 鸽军 白送 死 ， 还 不错 ， 至少 比 很多 好莱坞 超级 英雄 爆米花 大片 好多 了 。,1
 不 知道 为什么 这么 多人 打 低分 ， 我 觉得 挺 好看 的 啊,1
 黑子 喷子 真 多 ， 豆瓣 用 什么 去 杜绝 恶意 评论 呢 ？ 一部 不错 的 电影 显然 被 人 黑 了 。,1
 我 觉得 这个 电影 还 可以 啊,1
 看 了 ， 非常 好 。 特效 ， 场景 非常 棒,1
 其实 整部 电影 里面 场景 真的 很 宏伟 ， 很 震撼 。 长城 的 全景 ， 孔明灯 ， 烽火台 ， 长城 上 的 士兵 ， 甚至 是 长城 内部 的 布局 ， 我 觉得 都 很 震撼 到 我 ， 还有 特效 ， 至少 对 我 来说 是 很 能 满足 了 。,1
 恕 在 下 直言 ， 各位 评 低分 的 都 是 傻 逼,1
 我 第一次 豆瓣 写 评论 ， 是 为 张艺谋 《 长城 》 ， 我 看 了 ， 戴上 在 影院 买 的 5 块钱 的 眼镜 ， 哈 ， 震撼 了 ， 马特 达蒙 、 刘德华 、 张涵予 就 在 我 眼前 ， 我 伸手 就 可以 摸 到 ； 感叹 了 ， 那些 饕餮 ， 如此 逼真 ； 喜欢 了 ， 那些 宏大 的 场景 · · · · · · 我 就 喜欢 这部 奇幻 的 电影 ， 能 吸引 我 坐 住 ， 我 所在 的 那个 厅 的 人 没有 走动 的 ， 只有 同时,1
 没有 影评 那么 不堪 ， 虽然 有 一些 吐槽 的 地方 ， 但是 完全 达到 了 这类 片子 的 完成度 。 4 星 ， 多加 一分 给 鼓励 。,1
 看 了 三遍 觉得 非常 棒 ， 每次 看 心情 都 很 激动 ， 我们 国家 的 火药 武器 太棒了 ， 导演 很 用心 的 拍 ， 我们 也 很 用心 的 看,1
 我 很 喜欢 这部 电影,1
 一直 以为 中西文化 差异 很大 ， 这 在 表现 同 一件 事情 上 肯定 会 有 不同 的 呈现 ， 但 没想到 ， 张艺谋 将 中西 演员 放在 一起 ， 居然 是 这么 协调 的 画面 。,1
 值得一看 的 片儿,1
 这部 电影 很 好看 拍 的 挺 好 的 剧情 很 生动 演员 们 演 的 很棒,1
 好看 ， 太 好看 了 。,1
 很 不错 画质 很棒 剧情 好看,1
 很 好看 ， 我 很 喜欢 ！,1
