sentence,label
我 觉得 非常 不错,1
周星驰 风格 的 西游 ， 太 过瘾 了 ， 再 来 四部 不 嫌多 ， 只是 这集 剧本 差 了 点 ， 倒 是 撒开 手 开打 了 ， 过 了 个 眼瘾 ， 不 可能 有 降魔 篇 的 情感 力 ， 和 黄渤 这些 天才 演员 的 演技 大 爆发 了 ， 刚 开头 的 小人国 真是太 有 想象力 了 ， 吴亦凡 的 特点 都 出来 了 ， 挺萌 的 ， 让 人 一瞬间 忘记 加拿大 炮王 了 ， 调教 演员 不错 呵,1
大年初一 ， 选择 这 一部 ， 一点儿 不 后悔 。 我 觉得 之前 的 西游记 将 三 徒弟 的 妖性 都 化成 了 人性 ， 而 这 一部 ， 以 三 徒弟 为首 的 妖 的 妖性 和 以 唐僧 为首 的 人 的 人性 ， 都 被 展现 ， 并且 在 取经 路上 都 有 了 转变 。 林更新 和 吴亦凡 更是 献出 了 自己 最棒 的 演出 ！,1
豆瓣 已 沦陷,1
豆瓣 评论 其实 就是 一些 根本 不 懂 电影 的 人 在 有模有样 地 评论 。 试想 ， 他们 打 的 分能 评估 一部 电影 吗 ？ 我 看来 《 伏妖 篇 》 很 好 ， 无论 剧情 、 特效 都 一线 。,1
刚刚 看 完 ， 觉得 很 不错 ， 里面 的 妖 让 我 觉得 这才 是 西游记 里 师徒 四人 一路 遇到 的 妖 ， 吴亦凡 演技 很 好 啊 ， 孙悟空 也 很 不错 ， 他们 两个 都 让 我 忘记 了 演员 本身 。 不 懂 分为 什么 这么 低 ， 不说 非常 非常 好 ， 起码 7 分是 应该 有 的 呀 。,1
奇特,1
除了 吴亦凡 都 好,1
其实 对 吴亦凡 的 电影 一直 不 看好 ， 但 毕竟 是 周星驰 的 电影 。 就 看 了 一下 。 感觉 很 不 一样 啊 。 风格 和 西游 降魔 篇 是 一样 的 。 很 有趣 。 和 西游记 的 原著 很 符合 。 很 有趣 。 推荐 看 一下 。,1
周星驰 拍 的 原著 《 西游记 》 ， 如果 你 是从 83 版 西游记 （ 美化 了 西游 四人 ） 就 会 觉得 不 适应 ， 因为 西游记 的 原著 故事 是 很 黑暗 的 ， 充斥 着 邪恶 。 但是 周星驰 最大 勇气 在于 突破 83 版 西游记 的 束缚 ， 从 全新 的 角度 来 解读 了 原著 中 西游记 的 故事 。 值得 肯定 ， 赞 一个 ！ ！ ！,1
下午 看 了 ， 特效 相当 棒 。 跟 降魔 篇 一脉相承 ， 在 星爷 和 徐 老怪 的 作品 里 可能 算不上 最好 ， 但 那种 黑暗 魔幻 的 风格 已经 成型 了 ， 个人 很 喜欢 ， 推荐,1
脑洞 大开 ， 又 很 有意思 。 姚晨 变假花 的 时候 笑 死 我 了 ， 之后 的 解释 “ 反正 老百姓 也 知道 是 假 的 就 随便 糊弄 啦 ” 这句 台词 多好 啊 ！ 针砭时弊 啊 ！ 为 毛 分数 这么 低 ？ 不 觉得 比降 魔篇差 ， 但 还是 怀念 黄渤 的 演技 。,1
信任 ， 欺骗 ， 猜忌 ， 背叛 ， 相爱 ， 伤害 ...... 这些 都 是 我们 要历 的 难 ， 要渡 的 劫 ， 要 还 的 债 。,1
5 星 特效 不 解释,1
很 不错,1
熊出没 都 有 6.8 ， 伏妖 这么 低 ， 我 不服,1
给 差评 的 都 是 傻 逼 吧 ， 不是 傻 逼 就 肯定 是 被 雇来 的 水军,1
有 乜 电影 喺 2 会 超越 1 ？ 今日 大年初一 西游 2 伏 魔 已 给出 证明 ！  温馨 提示 ： 一定 要 睇 DMAX ！ 要 粤语 ！ 就算 你 睇 左 普通 3D 你 都 会 再 去 刷 多次 DMAX ！,1
对于 西游 这个 剧情 我 可以 说 是 百看不厌 吗  大年初一 唯一 一部 IMAX 的   震撼  不能 错过,1
电影 里 说 “ 我 欠 你 的 ， 已经 还清 ； 你 欠 我 的 ， 不必 再 还 。 ” 你 不 欠 星爷 一张 电影票 ， 星爷 也 不是 为了 圈钱 才 拍电影 。 我 坚决 不是 因为 情怀 才 去 看星爷 的 电影 （ 甚至 别人 说 因为 情怀 我 都 会 觉得 生气 ） ， 我 很少 看 电影 ， 但是 每次 去 看 ， 都 会 选择 自己 最想 看 的 电影 。 降妖 是 我 的 选择 ， 看 完后 至少 我 觉得 是 快乐 和 满足 的 。,1
真的 很 精彩 ， 准备 二刷,1
领先 国内 其他 导演 （ 张艺谋 除外 ） 10 年 功力 的 电影 ， 真心 不错 。 可能 周星驰 的 作品 就是 要 让 时间 来 验证 吧 。,1
必看 的 电影 ！ 没 毛病 ！ 特效 满分 ， 剧情 耐人寻味 ！ 唯一 后悔 的 是 没 看 IMAX 。 and 影院 最后 没 给 放 彩蛋 ！ ！ ！,1
刚 从 电影院 出来 ， 太 震撼 了 ， 不愧 是 星爷 和 老爷 ， 太 惊喜 了 ， 双王 合璧 ， 果然 无人能敌 ， 已经 准备 好二刷 三刷 了 。,1
