sentence,label
非常 好看   很 震撼   并 不想 那些 无脑 水军 说 的 那么 不堪   记住 星爷 不 欠 你们 电影票   你们 也 不用 还星爷 电影票  下回 写 影评 至少 先 看看 电影 在 写   每部 电影 底下 复制粘贴   有意思 ？ ？,1
打 1 星 的 都 是 水军 吧 ， 个人 觉得 比 美人鱼 好看 。 继续 延续 不 一样 的 西游 。,1
两个 大导 的 合作 有点 看头 ， 过年 这样 的 喜庆 节日 就 该 看点 开心 的 ， 喜欢 这部 电影 。,1
西游 特效 实在太 震撼 了 ， 也 有 周式 无厘头 风格 ， 全场 有 笑 点 ， 演员 都 演 的 很 好 ， 然 最 没想到 的 是 吴亦凡 应该 是 个 喜剧演员 潜力股 ， 吴亦凡 跳舞 那段 笑 疯 了 哈哈哈哈 哈哈哈 。,1
双王 合作 ， 强烈推荐 ， 星爷 的 无厘头 和 老爷 的 特效 绝对 值得 期待 ～,1
双王 合作 ， 再创 经典,1
唐僧 师徒 四人 ， 关系 耐人寻味 。 整部 剧 ， 情节 紧凑 ， 人物性格 鲜明 ， 且 剪辑 别出心裁 。 每 一个 动作 ， 每 一句 台词 ， 每 一个 微 表情 ， 无不 诠释 着 不同 的 东西 ， 关乎 爱情 、 友情 、 师徒 、 苍生 … … 。 整部 剧 ， 需要 观众 慢慢 品味 。,1
还 可以,1
中国人 就是 逼事 多 ， 总 喜欢 好莱坞 大片 的 震撼 ， 好不容易 中国 也 能 有 这样 的 片子 ， 结果 又 嫌弃 这个 太 恐怖 ， 那个 没 剧情 的 ， 总 想 一口 吃 出 一个 胖子 来 ， 不比 花钱 看 其他 烂片 强 啊 ， 就是 矫情 → _ →,1
还是 认为 很 好看 ， 不是 因为 周星驰 ， 不是 徐克 ， 不是 那帮 小 鲜肉 ， 只是 影片 本身 确实 很 不错 ！,1
刚看 了 一遍 ， 还 想 看 第二遍 。 。,1
我 不 知道 豆瓣 上 为什么 那么 多 黑 这部 电影 的 。 这绝 逼 是 春节 我 看过 特效 最 一流 ， 笑点 最 多 的 电影 。 从 开头 致敬 小人国 那段 就 吸引 了 我 的 眼球 ， 这 不是 西游记 ， 而是 徐克 和 周星驰 打造 的 另类 除妖 记 。,1
因为 有 看到 宣传 是 星爷 与 老爷 联手 的 作品 ， 所以 还 蛮 期待 的 。 看 的 零点 场 ， 因为 初一 白天 要 去 拜年 ， 所以 拉着 老公 一起 来看 第一场 了 。 影院 里 现在 看 的 人 还 挺 多 的 ， 比 预计 的 多 。 不愧 是 星爷 作品 ， 看 的 我 又哭又笑 ， 我 想 这 就是 电影 的 魅力 ， 星爷 的 电影 总是 无法抗拒 。 我 跟 老公 说 我 要 打 满分 ， 他 说 这个 电影 值 。,1
看 了 西游 伏妖 星爷 和 徐克 导演 没有 让 我 失望 剧情 特效 燃爆 了 很棒 “ 世界 上 最 难过 的 关是 情关 ” 唐僧 心里 面 自始至终 都 只有 段 小姐 一个 人 。 电影 情节 都 是 所 想不到 的 ， 就是 你 以为 是 这样 ， 下 一秒 就 变 了 ， 并 不是 你 想 的 那样 。 印象 最 深刻 的 是 吴亦凡 扮演 的 唐僧 让 我 很入 戏 ， 时而 萌 时而 有点 小傲 娇 总之 ， 星爷 的 电影 不 容错过,1
心中 打分 6.5 分 及格 偏 上 看好 多人 一星  我 就 加一点 吧,1
四星 ， 分数 太低 拉 一下,1
