sentence,label
 并 不 觉得 向 众多 所谓 影评人 说 的 一样 是 大 烂片 ， 相反 ， 用 中国 传统 兵器 打 中国式 怪兽 ， 孔明灯 和 秦腔 哀乐 的 结合 再 合适 不过 。 每个 人 对于 影片 的 喜好 程度 各有不同 ， 对于 我 来说 ， 100 多分钟 看 此片 ， 值,1
 我 觉得 看着 挺爽 ， 场面 震撼 ， 还是 值 票价 的 。,1
 电影 想 说 的 不是 简单 的 你死我活 ， 打败 怪兽 ， 而是 要 传递 出 牺牲 的 精神 、 家国 情怀 、 战斗 的 意义 等等 ， 最 重要 的 是 中国 的 故事 和 文化,1
 震撼 到 我 了 ， 长城 是 我们 国家 的 象征 ， 一道 雄关 ， 看到 了 军人 的 精神 ， 看到 了 中国 的 元素 ， 有 火药 ， 孔明灯 ， 秦腔 ， 看到 张爷子 市场 在 国外 ， 在 宣传 中国 文化 。 希望 我们 也 有 英雄 ， 像 星球大战 一样 全球 10 亿 的 粉丝 陪伴 我们 成长 ！ 希望 这是 开端 ， 有 长城 12345 ， 比 凹凸 曼打 怪兽 好多 了 ！,1
 感觉 还是 不错 的 ， 虽然 整体 上 感觉 有点 匆匆忙忙 的 ， 但 一些 战斗 场面 还是 很 好看 的 。,1
 在 张艺谋 的 构想 下 ， 这部 爆米花 大片 加入 了 很多 符合中国 人 价值观 的 东西 以及 他 所 擅长 的 宏大 叙事 。 说 张艺谋 不行 的 还是 闭嘴 吧,1
 很 好 的 一部 片子 ， 不 知道 为什么 被 那么 多人 说 的 那么 不屑一顾 ， 支持 张导,1
 中国 大片 崛起 之势 。,1
 看过 之后 还是 觉得 不错 的 ， 并 没有 网上 说 的 那么 差 。 整体 比较 流畅 ， 特效 很 不错 ， 景甜 演技 还是 很 有 的 ， 没有 特别 尴尬 的 地方 。,1
 同样 是 魔幻 题材 的 《 寻龙诀 》 曾 在 这个 档期 取得 了 16 亿 票房 ， 《 长城 》 的 票房 怎么 也 会 翻倍 吧,1
 最近 播放 的 影片 还是 比较 喜欢 看 这个 ， 觉得 故事 题材 蛮 好 ， 国内 拍 出 这种 片 觉得 很 不错,1
 我 觉得 挺不错 的 。 在 中国 看来 算是 最好 的 科幻 大片 了 . 毕竟 国产 。 支持 一下 ！,1
 挺 好看 的 ， 不 知道 为什么 评分 这么 低 ， 来 支持 一下 。,1
 竟然 有人 还 没 看片 就 说 装备 直透 廉价 感 ， 你 是 什么 时候 瞎 的 。 都 是 一样 的 顶尖 制作 团队 维塔 工作室 设计 的 武器 ， 放在 好莱坞 电影 就 说好 ， 放在 自己 电影 就 说 廉价 ， 你 是 猴子 派来 的 叛 逗 比 吗 ？,1
 老谋子 不 容易 ， 这个 就是 看 场面 、 特效 ， 不 需要 那么 深刻 ， 刚刚 好 ， 除了 女主 。 。 。 从小 在 军队 里 长大 的 女主 不 应该 是 这个 样子 吧,1
 看 了 血战 钢锯 岭 ， 再 看 长城 ， 同样 的 票价 还是 长城 大片 好看 ！ 不 明白 为 为何 这么 多人 黑 ？,1
 还是 不错,1
 不管 豆瓣 这群 喷子 如何 喷 ， 反正 我 买票 进影院 看 了 ， 我 和 小伙伴 们 都 看 的 很 过瘾 ， 这 就是 一部 合格 的 爆米花 电影 ， 如果说 这样 还是 烂片 的话 ， 那么 以后 请 烂片 都 按 这个 标准 来 拍 。,1
 张艺谋 的 片 我 一直 觉得 挺烂 的 ， 这次 真 拍 的 不错 。 特效 做 的 不错 ， 故事 内容 完整 ， 从头到尾 无尿点 。 林狗 出场 的 时候 帅到 我 了 ， 好 英气 ~ ~ ~ 饕餮 吃 人 的 时候 真的 有 吓 到 我 ， 就是 如果 不用 外国人 就 好 了 ， 国产片 里 老外 串场 挺 那个 的 ~ ~,1
 长城 变成 巨大 的 陆上 航母 ， 而 他们 的 对手 就是 上古 神兽 饕餮 。 战斗 场面 恢弘 壮大 ， 中国 文化 元素 也 很浓 ， 超燃 哦 。,1
 最 另 人 震撼 的 几个 点 : 精密 的 武器 设备 ; 秦腔 战鼓 的 激昂 ; 不顾 生死 的 士兵 ; 壮阔 的 场面 及 演员 不错 的 表演 。,1
 虽然 还有 一些 遗憾 ， 但 对于 这种 创新 ， 我们 应该 给出 鼓励 和 支持 ， 希望 中国 电影 越来越 好 ！,1
 差不多 得 了 ， 好看 就行,1
 虽然 故事情节 整体 的确 有点 弱 ， 但是 就 场景 来说 真的 很 震撼 ， 整体 不错 ， 有些 情节 可以 看 出来 还是 下 了 功夫 的,1
 张艺谋 这次 在 作品 题材 上 跨度 非常 大 ， 或许 这才 是 他 真正 的 兴趣 所在,1
 好久没 看到 这么 好看 的 电影 了 ，,1
 看 电影 之前 就 看过 很多 影评人 喷 的 凶 ， 去 看 了 反而 觉得 还 不错 ? ? 我 是 不能 理解 那些 看 都 没 看过 对 着 海报 就 能 吐 槽 好 几行字 的 人 ， 人生 是 有 多 不顺遂 才 会 这么 需要 发泄,1
 影片 聚齐 了 这么 多 偶像 派 ， 想必 背后 也 有 对于 市场 的 深思熟虑 ， 张艺谋 用 自己 调教 演员 的 本事 完全 不 CARE 演技 的 问题,1
 实话 说 ， 此片 被 黑得 有点 过 了 。 五分 ， 懒得 和 那些 没 看过 就 瞎 JB 黑 的 水军 解释 。,1
 越来越 多 的 导演 在 拍片 初期 就 认真 考虑 如何 符合 年轻人 的 口味 ， 张艺谋 这次 算是 将 国内 不同 年龄层 的 偶像 “ 一网打尽 ” 了 。,1
 我 觉得 挺 好看 的,1
 《 长城 》 是 拍 给 全世界 年轻人 看 的 电影 ， 用 年轻人 懂 的 方式 深入浅出 的 讲 中国 文化,1
 作为 张艺谋 的 首部 英文 大片 ， 传奇 影业 出品 ， 马特 · 达蒙 、 威廉 · 达福 、 佩德罗 · 帕斯卡 好莱坞 大牌 外援 ， 刘德华 、 张涵予 、 彭于 晏 、 鹿晗 、 林 更新 、 郑恺 、 王俊凯 助阵 ， 是 目前 中 美 合拍片 中 来头 和 阵仗 最大 的 一部 了,1
 效果 很 炫 ， 看 的 时候 有种 很 震撼 的 感觉 ， 无影 禁军 一支 很强 的 队伍 ， 拧成 一股劲儿 的 精神 也 让 我 震撼 。 可以 去 电影院 看 下 ， 力荐 ！ ！ ！ ！ ps : 唯一 美中不足 的 地方 就是 故事情节 不是 很 饱满 ， 不过 瑕不掩瑜 ， 还是 好看 ~ ~ ~ ~,1
 看过 之后 被 画面 震撼 ， 很 激动 ， 确实 挺 好看 ! 满分 !,1
 没想到 《 山海经 》 里 的 怪兽 是 这样 的 ， 就 像 《 僵尸 世界大战 》 里 僵尸 爬 城墙 一样 壮观 ， 唯一 的 不同 是 速度 ， 尼玛 怪兽 的 速度 快如闪电 啊,1
 最 显眼 的 是 那首 送葬 歌 ， 漫天 的 孔明灯 以及 最后 鹿晗 的 那个 眼神 ！ 看 第二遍 也 看 的 手心 冒汗 ， 起 鸡皮 噶 哒 ！,1
 从 刘邦 白登之围 、 李世民 便桥 之盟 ， 一直 到 满清 入关 这 无数次 的 血泪史 ， 说明 长城 虽然 雄 、 奇 、 险 ， 但 并 不是 坚不可摧 。 电影 里 饕餮 暗渡陈仓 ， 禁军 冒死 勤王 ， 我 猜 老谋子 想 说 的 是 真正 的 长城 不 在 山上 ， 在 人 心中 。,1
 国师 就是 国师 ， 在 国际 上 进行 文化交流 的 意义 比 电影 本身 更 重要 。 而且 看得出来 电影 制作 精良 ， 值得一看 。,1
 作为 世界 上 最大 的 防御工事 ， 长城 防御 的 不是 匈奴 人 了 ， 而是 防御 怪兽 。,1
 给 五星 不 解释 ， 好看 ！ 看着 过瘾 ， 值票 钱 。 管 你们 怎么 喷 。,1
 什么 是 好 电影 ？ 那 就是 回家 后 念念不忘 或者 某些 年 后 还 能 想起 里面 的 一两个 片段 就是 好 电影 ！ 你们 这些 影院 回家 后 或者 压根 没 看过 的 所谓 影评人 ， 其实 你们 的 逼 叨 已经 出卖 了 你们 的 恶心 ！,1
 敲敲 键盘 说 说 风凉话 是 个人 的 自由  但是 冲锋 在 中国 电影 第一线 带 着 它 走向世界  却是 国师 为 一生 做出 的 抉择 .,1
 电影 不错 至少 7 分去 看 肯定 值 现在 豆瓣 都 是 喷子,1
 用人 肉 之躯 去 对付 上古 神兽 的 入侵 ， 好 悲壮 的 感觉 啊 ， 达蒙 被 中国 军人 这种 视死如归 的 精神 所 打动 ， 所以 才 义无反顾 的 加入 了 这场 看上去 毫无 胜算 的 战斗 当中 。,1
