sentence,label
大 烂片 ， 春节 档 已经 沦为 如此 ～ 星爷 再也 不欠 你 什么 电影票 了 ， 这 口号 粉丝 们 不要 搬出来 喊 了 ， 这 特效 叫好 ？ 国内 不如 三打 与 寻龙 ， 无厘头 笑点 也 很弱 ， 不伦不类 没人 看 完 说 好看 的 ， 透支 星爷 信誉 从 降魔 美人鱼 高 票房 开始 没有 停止 ！,0
全是 老 梗  难看 难看  一星 都 不想 打  吴亦凡 一 说话 就 出戏 。 星爷 欠 我 一张 电影票 ！ ！,0
一星 我 都 觉得 给 高 了,0
开头 吴亦凡 演 的 让 我 觉得 很 尴尬 ， 笑 的 很 假 ， 前面 完全 无尿点 ， 感觉 笑点 都 是 硬 凑上去 的 。 不 好看 ， 就 那样 。,0
羡慕 那些 居然 能 笑 出来 的 人 ...,0
太 让 人 失望 了 … …,0
水军 太多 了 ， 看 那些 打 五星 的 超长 短评 和 天猫 淘宝 超长 好评 有 任何 区别 吗 ？,0
无聊,0
什么 鬼 ， 这 真的 是 喜剧 吗 ？ 巨幕厅 坐满 人 的 首映 完 ！ 全 ！ 没 ！ 人 ！ 笑 ！ 因为 真的 没有 可以 笑 的 地方 ！ 最 好看 的 真的 是 预告 啊 ！ 浓缩 了 全部 的 精华 ！,0
谁 说 特效 换 可以 的 ？ 哎 ， 从 剧情 到 到 演员 到 场景 一无是处 啊 !,0
不 好看 ， 看着 吴亦凡 我 就 觉得 尴尬 ， 林更新 还 不错 。,0
我 旁边 的 小朋友 吓哭 了 ， 一边 听 着 哭声 一边 看 这部 电影 ， 嗯 ， 这 tm 什么 玩意 ！,0
烂 到 原地 转圈 飞 起 … …,0
为 净化 电影 市场 环境 作 一点 微薄 的 贡献,0
垃圾,0
其实 想 给 零星 的 ， 无敌 烂片,0
一 开场 看到 吴亦凡 那 尴尬 的 演技 我 就 知道 这片 是 毁 了 ， 把玩 了 两个 小时 电影票 ， 悼念 我 那 逝去 的 40 块钱 。,0
拍 的 什么 鬼 ？ 乱七八糟 ， 一次 买 了 六张 票 ， 看过 发现 不如 在家 睡觉 ！,0
什么 垃圾 东西 。 周星驰 也 卖弄 老梗 ， 故事 瞎编 乱造 的 。 就是 故意 把 元素 拼凑 出来 的 东西 ， 糟蹋 钱 了 。,0
除了 电脑 特效 再 找不出 有 什么 能 看 的 了 ， 笑点 没有 ， 演技 没有 ， 剧情 没有 ， 和 以前 的 无理 头 完全 不是 一 回事 ， 如果 票房 高有 两点 ： 周星驰 和 春节 档 。 烂片 一部,0
整篇 下来 不 知道 在 讲 啥 ， 看 完 我 觉得 浪费 了 钱 浪费 了 时间 ！,0
不当 导演  当 编剧 了  还 能 再 毁 电影 一点 么  星爷,0
一星 给 星爷  垃圾 炮王,0
别的 不 说 就 冲 你 选 的 这个 演员 也 就 这个 了 ， 你们 养老 钱 也 骗 的 差不多 了 吧 … 可以 别 在 祸害 中国 电影 了 吧 ， 没想到 周星驰 徐克 也 成 了 这样,0
