sentence,label
挺 有 深意 的 ， 可能 太 前卫 了 和 大话西游 一样 。 大多数 都 接受 不了 ， 我 个人 觉得 挺棒 。,1
没看 就 1 星 ？ 怕 了 水军 ， 周徐 拍电影 这么 多年 这么 多 优秀作品 也 抵不过 可怕 的 水军 。 请 你 看 完 再说 ， 也 请 你 不要 捅 我 。 这句 话 说 了 还是 徒劳 ？,1
有种 西游 叫 周星驰 的 西游 ， 看 懂 的 人 自然 懂 ， 不 懂 的 人 也 不必 懂 。 星爷 还是 那个 星爷,1
讲道理 ， 很 不错 的 片子 ， 出乎 我 意料 ， 感情 戏略 鸡肋 ， 演技 再 扣点 ， 特效 打斗 很 好    7.5 往上,1
本来 给 四星 ， 但 因为 黑子 太多加 一星 ！ 那些 给 一星 的 黑 你们 能 不能 滚远点 ！,1
觉得 动作 设计 个 人物造型   整体 画面 都 很 别具一格   就是 内容 很 空洞 不知所云   五星 鼓励 鼓励 吧,1
给 5 星 。 但 并 不是 说 这片 真 值得 5 星 ， 而是 为了 把 当前 这个 偏低 的 分数 往上提 一提 。 不可否认 的 地方 包括 让 人 尴尬 的 主角 包括 但 不 限于 吴亦凡 的 演技 ， 电影 告诉 我们 ， 妖怪 就是 妖怪 ， 人 就是 人 ， 相亲相爱 都 是 朝夕相处 出来 的 ， 不是 突然 就 好 上 的 。 虽然 表达方式 粗糙 了 点 。,1
果然 星爷 和 老怪 徐克 导演 不会 让 人 失望 ， 其中 让 人 惊喜 的 有 吴亦凡 ， 真的 是 抛开 了 所有 包袱 去 表演 啊 ， 刚 开始 的 梦 就让 人 感觉 惊喜 了 ， 影片 中 也 不乏 这样 的 惊喜 在 ， 很多 表情 动作 都 很 好 ， 以至于 看 影片 的 时候 真的 没有 想过 是 吴亦凡 。 林更新 的 孙悟空 也 可圈可点 ， 最 可爱 的 就是 沙 师弟 那个 大眼萌 啦 ！ 很 不错 的 电影 。 赞 ！,1
不 知道 为何 有人 要 喷 ， 把 自己 认为 的 “ 星爷 ” ， 强加 给 “ 星爷 ” ？ 朋友 说 这部 比上 一部 好 ， 值得 回味 ， 个人 认为 ， 这部 确实 值得 回味 ， 确实 比较 符合 原著 ！,1
良心 之作 ， 可以 看出 导演 拍 得 十分 用心 ， 就 冲 这种 认真 劲 ， 给 满分,1
剧情 挺棒  笑点 挺 多 的  星爷 也 没 让 我们 失望,1
随心 随性 大法 好 ， 我 就 觉得 超赞 ， 值 5 星 。,1
刚看 了 ， 打 一颗 星 的 是 有 病 ？ 瞎 ?,1
不 知道 是 现在 孩子 幼稚 还是 当年 的 孩子 没 长大 ， 周星星 都 成熟 了 ， 麻烦 拜托 你们 长大 好 吗 ？,1
电影 的 真实 实力 是 大大超 出现 有 的 评分 的 。 电影 的 内容 是 很 有 深度 的 。 缺陷 有 三点 ， 第一 吴亦凡 ， 第二 吴亦凡 ， 第三 五毛 特效 。 其他 都 很 好 。 强烈要求 星爷 以后 的 电影 毖 了 吴亦凡 。 真的,1
挺 好看 的 ， 的确 是 徐克 的 技术 流 和 周星驰 的 黑色 魔幻 风格 。 特效 好 ， 剧情 也 流畅 。,1
说 实在话 ， 5.5 分 确实 有失公允 啊 。 一部喜剧 奇幻 片 ， 笑 过 、 感叹 过 ， 还要 怎样 ？ 我 发现 豆瓣 越来越 文艺 了 ， 越来越 装逼 了 ， 电影 毕竟 生 大众 消费 。 这部 片子 值得一看 ， 内容 和 笑 点 稍微 比前 一部 和 美人鱼 差 一些 ， 但 特效 确实 不错 。,1
不 知道 为什么 这么 好看 的 电影 会 有 那么 多人 喷 ， 已经 看过 两遍 了 准备 看 第三遍 ， 感觉 比 西游 降魔 好看 ， 也 更 有 深意 。,1
星爷 出手 就 看 有没有 ~ 虽然 全程 吴亦凡 一直 是 效仿 当年 星爷 的 说话 语气 ， 不得不 说 吴亦凡 的 颜值 还是 在线 的 ， 秃头 都 很帅 也 是 没 谁 了 ， 剧情 有 反转 ， 值得一看 ， 不是 传统 对 西游 的 定义 。,1
特效 ， 堪称 近年来 国产 最佳 ， 每 一个 细节 都 做 的 十分 惊喜 ， 在 电影院 看 的 时候 ， imax 下 尤为 震撼 ， 孙悟空 大战 红孩儿 的 部分 彷佛 是 大圣归来 的 真人版 ， 高潮迭起 ， 行云流水 ， 所以 特效 部分 有 给 到 101 分 不怕 骄傲 。,1
星爷 和 徐克 ， 一等一 的 大师 ， 强强 联手 打造 出来 的 电影 怎么 可能 差 。 昨天下午 ， 怀着 期待 和 怀疑 走进 电影院 。 全片 看 完 ， 酣畅淋漓 ， 特效 绝对 的 国内 最好 。 至于 笑 梗 ， 确实 有 一部分 旧 瓶装 新酒 的 意思 ， 不过 也 还 算 处理 得当 ， 相对 于 大多 的 电影 ， 效果 已经 很 好 了 。 没有 期待 的 好 ， 但 绝对 不差 。 支持 星爷 ， 五星 。,1
西游伏妖篇 没有 让 我 失望 ， 星爷 和 徐克 导演 强强 联手 ， 绝对 不虚此行 ， 在 我 看 电影 之前 就 有 这种 信心 ， 看 完 电影 之后 这种 想法 更加 强烈 了 。 看 电影 之后 回家 的 出租车 上 ， 忍不住 对 司机 大叔 推荐 了 ！  周星驰 和 徐克 的 合作 真的 可以 称得上 是 活久见 吧 ， 一个 是 童心 无敌 ， 一个 是 鬼才 绝艳 ， 其 结果 也 的确 是 思维 的 碰撞 ！,1
下午 看 完 ， 很 不错 ， 特效 满分  我 不 知道 给 一分 的 人 什么 心态 ， 这 就是 个 中国式 超级英雄 电影 ， 本来 这 类 电影 为了 突出 特效 打斗 场面 剧情 肯定 会弱 ， 但是 伏妖 篇 做 的 很 好 ， 他 讲 了 一个 完整 的 故事 ， 也 完善 了 取经 四人 的 形象 ， 金箍 根本 就 锁不住 孙悟空 ， 但 他 还是 为了 心中 的 愧疚 ， 依然 保护 着 唐僧 … …,1
好看 精彩 ， 形象 多 来源于 原著 。 还原 度 还是 蛮高 的 ， 白骨精 我 都 猜出来 了 。 稀饭 。 制作 精良 。,1
我 喜欢 ， 我们 一家人 都 喜欢 ！,1
首先 ， 周星驰 和 徐克 都 不是 介意 作品 有 瑕疵 的 人 ， 他们 更 在意 于 带来 全新 的 东西 ， 吹毛求疵 是 毫无意义 的 。 其次 ， 如此 风格化 、 有 想象力 、 精致 的 电影 还 不算 好 的话 ， 又 有 什么 电影 好 呢 ？,1
有过 执着 ， 放下 执着 ； 有过 牵挂 ， 了 无 牵挂,1
我 想 说 对于 星爷 这部 电影 被 豆瓣 评为 5.6 分 ， 那 国产 还有 哪部 电影 是 值得 让 观众 进 电影院 看 的 ， 对于 这么 一部 ， 要 演技 有 演技 ， 要 颜值 有 颜值 ， 要 大牌 有 大牌 ， 有 特效 有 特效 ， 要 内涵 有 内涵 ， 哪怕 是 一个 笑点 很 高 的 人 都 能 笑 得 半天 合不上 嘴 的 ， 对于 这样 一部 电影 被 评为 5.6 分 豆瓣 的 水军 们 你们 摸过 自己 的 良心 没有,1
期待 ， 星爷 ， 老爷 ， 小爷 的 强强 联手 。 超级 期待,1
特别 找回 我 的 豆瓣 号 给 西游 加持 ， 实在 看不惯 莫名 的 恶评 ， 充满 想象力 和 诚意 的 电影 ， 绝对 值得 二刷 ， 支持 徐克 和 星爷 ～,1
特效 很炫酷 ， 造型 很 新颖 。,1
真的 不 明白 ， 有 故事 ， 有 情节 ， 有 特效 。 有人 说 特效 差 我 真的 不 知道 你 看过 多牛 的 特 特效 ， 这 都 嫌 差 。 有句 卖 批当 讲 不当 讲 。 豆瓣 很 失望 。,1
感觉 还 不错 啊 ， 毕竟 舒淇 那么 美 < ( ￣ ︶ ￣ ) /  ， 突然 出现 真是 惊艳 到 了,1
我 竟然 在 这 里面 看到 了 演技 … 星爷 和 徐克 还是 屌 ！,1
非常 棒 ， 超级 喜欢 ， 片中 有 好多 搞笑 的 地方 ， 而且 十分 牛 掰 ， 漂亮 的 剧情 ， 逗 逼 的 人物 设定 ， 太 喜欢 这部 电影 了 ， 绝 了 ， 必须 攒 ！ 大年初一 选它 真不错,1
双王 合作 ， 的确 不负众望 。 影片 给 人 的 感觉 特别 震撼 ! 观后 意犹未尽 ， 明天 二刷 。,1
看 网上 评论 ， 说 周星驰 从现在起 欠 了 观众 一张 电影票 ， 就 想 看看 星爷 是 如何 出 的 丑 。 但 看 完 电影 之后 ， 作为 一个 纯粹 春节 没事干 图一乐 呵 的 吃 瓜 群众 而言 ， 这部 电影 还 算是 一部 制作 精良 的 良心 电影 。 炫酷 的 特效 ， 场面 宏大 ， 配 上 徐克 式 武打 ， 简直 炸裂 。 故事情节 也 还 算 曲折 。 除了 鲜肉 演技 ， 个人 觉得 还是 值得一看 。,1
挺 好看 的 啊   不 知道 为什么 这么 多 黑 的   难道 真的 树大招风 ？ ？ ？  特效 很 好   大过年 的 要 这么 多 人生 寓意 干嘛 啊 。 。 。  说 炒冷饭 的  其实 没 必要 啊     挺好玩 的 ， ，  不要 为了 黑而 黑   我 是 炮王 黑  但是 这部 演 的 不 那么 尴尬 了 ， ， 难道 黑出 感情 了 ？ ？ ？ ？ 哈哈哈哈 哈哈哈,1
星爷 编剧 我 觉得 蛮 好 的 ， 绝对 值得一看,1
很 不错 ， 有些 有点 污,1
别的 不 知道 ， 特效 就值 了 ！,1
满足 了 我 对 西游 的 想象力,1
好 喜欢 好 喜欢 好 喜欢 啊 不愧 是 周星驰 和 徐导 ， 王炸 啊 ✔,1
等 了 这么久 终于 等到 你  我 的 西游  我 的 周星星  我 的 徐 老怪  徐克 说  他 想 西游 想 了 三十年  我 想 说 这样 一部 作品 的 诞生 可能 要 等 上 一辈子 才能 遇见  何其 有幸  钟意 之 人 惺惺相惜  齐聚一堂,1
这 是不是 你们 从小 看 的 六小龄童 的 西游记 ， 而且 ， 麻烦 看 电影 的 时候 也 请 联系 上 一部 观看 ， 人物性格 上 其实 并 无太多 改变 ， 该 奸诈 还是 奸诈 ， 不会 因为 吃了 一个 如来神掌 就 会 彻底 洗白 ， 而且 也 很 有 深度 ， 硬 要说 不足之处 也 只是 结尾 的 反转来 得 太 突然 。,1
当 “ 喜剧之王 ” 周星驰 遇上 “ 武侠 之王 ” 徐克 ， 两位 大导 究竟 能 擦 出 怎样 的 火花 ？ 剧情 将会 怎样 出人意料 ？ 我 先 不 透露 ， 等 你 去 电影院 揭开 谜底 ( 特别 特别 特别 精彩 ， 真心 不 容错过 ),1
很赞 ， 孙悟空 本来 就是 邪魔外道 ， 而 非 驯化 的 好 猴子,1
虽然 不 喜欢 所谓 的 小 鲜肉 ， 但 就 这部 电影 而言 ， 真 没什么 好吐槽 的 。 那些 一星 党们 你们 大过年 的 出卖灵魂 赚 那些 个 三 五角 的 有意思 吗 ？ 你们 10 个 中 有 1 个 看 了 片 吗 ？ 每年 都 从 不要脸 开启 新 的 一年 ， 可能 你们 都 已经 习惯 了 吧 ！,1
我 给 五星 ， 其实 四星 已经 足够 ！ 只是 水军 太 多 还是 平均 一下 吧 。 看过 无数 的 片子 但是 看 完 还 想 刷 二遍 的 不 多 ， 西游 2 算 一部 。,1
五星 是 为了 拉高 平均分 ， 但 片子 确实 不错 ！ 不过 更 喜欢 降魔 的 演员 ， 都 是 实力派 。 这个 片子 部分 人 还是 要 努力 的 。 星爷 的 故事 欢笑 背后 总是 发人深省,1
国产 良心 特效 之一,1
喜欢 ！ 画面 很 美 ， 氛围 也 很 贴近 原著,1
有 笑 有 泪 ！ 不愧 是 星爷 跟 老爷 双王 合作 ！ 特效 帅炸 了 ！ 吴亦凡 在 这部 电影 里 蜕变 了 ， 五星 推荐 ！,1
唐僧 说 ， 有过 痛苦 ， 才 知 众生 痛苦 ； 有过 执着 ， 放下 执着 ； 有过 牵挂 ， 了 无 牵挂 。 可是 ， 段 小姐 ， 一直 在 你 心上 呢 ， 深植于 心 ， 悄然 生根 发芽 ， 直至 参天 。 于是 他 告诉 小善 ： 我 的 心里 已经 容不下 第二个 人 了 。 星爷 的 故事 ， 细细 咀嚼 ， 百转千回 后 ， 愈发 动人 。,1
看不懂 的 ， 还有 那些 水军 随 你们 喷 吧 ， 好片 就是 好 ， 不会 因为 你们 的 抹黑 而 改变 它 的 本质,1
有过 痛苦 ， 方知 众生 痛苦 ； 有过 执着 ， 放下 执着 ； 有过 牵挂 ， 了 无 牵挂 。  王见 王 的 合作 真的 独一无二 ， 精彩纷呈 。  首先 是 特效 ， 真的 很 牛 掰 ， 老爷 不愧 是 武侠 之王 ， 打斗 的 戏码 格外 精彩 。  其次 是 影片 中星 爷 的 无厘头 成分 ， 一看 就 知道 是 星爷 的 特色 。  最后 是 人物 的 塑造 ， 颠覆 形象 却 又 在 情理之中 。,1
表示 路人 都 看不下去 … … 评论 里 水军 没 看过 就 来 打 差评 了 吧 … … 讲真 电影 真不错 啊  特别 是 吴亦凡 很 逗 啊 完全 没 偶像 包袱 了,1
完全 超出 想象 ， 比上 一部 《 美人鱼 》 更 优秀 ， 希望 票房 也 能 有 新 的 突破 ， 加油 ！,1
这么 多 西游 ， 只有 星爷 的 片子 最 接近 ， 最 符合 原著 的 精神 及 原著 的 魔幻世界 。 被 人 怀念 的 央视版 的 西游记 ， 其实 才 是 真正 被 阉割 后 ， 自说自话 胡编乱造 的 儿童 版 西游 。 为 星爷 的 天马行空 点赞 ， 也 为 徐克 的 特效 点赞 。,1
豆瓣 门槛 太低 了 ！ 建议 像 b 站 一样 来个 考核 ！ 真是 的 什么 水军 都 有 ， 没 看过 就 来 黑 ， 什么 导演 黑 还是 演员 黑 ， 看来 只有 外国 片子 才 不会 这样 ， 没 看过 电影 光 从 炒作 还是 其他 的 就 随便 打分 有意思 吗 ！ ？ 虽然 我 还 没 开始 看 ， 我 已经 不 知道 看 哪部 了 ， 先给 个 五星 平衡 一下 ！,1
我 觉得 好看 ！ 看 评分 很 疑惑 ， 看 完 觉得 很 西游 ， 很 喜欢 ！,1
总 觉得 哪里 有点 奇怪 ， 但是 周星驰 的 灵魂 还 在 ，,1
