sentence,label
浪费 我 电影票  吹 的 这么 好看  辣鸡  不 知道 到底 想 表达 什么   另  辣鸡直 男癌,0
没意思 。 。 。,0
这 水军 买 的 … …,0
韩寒 这 炒作 功夫 真的 越发 炉火纯青 ， 碰壁 女权 也 是 挺 牛 逼 的,0
抄袭 不能 忍,0
差点 睡 了,0
拒绝 直男癌 ， 拒绝 博 眼球 圈钱 的 烂片 。,0
呵呵,0
导演 借鉴 了 多少 片子 ？ ？ ？ ？ ？ 不要 把 观众 当 傻子,0
直男癌 患者 的 圈钱 之作,0
不是 个 好 故事 …,0
对直 男癌 的 封建思想 恨之入骨 。,0
说 好看 的 都 是 脑 残粉 吧 ？ 可惜 了 彭于晏 ， 打着 文艺片 的 幌子 其实 是 低 笑 点 搞笑片,0
剧情 挺 好 ， 但 冲着 直男癌 主题曲 我 也 要 给 一星,0
简直 辣鸡  拍 完 一个月 剪辑 就 值得 一生 黑  再 来 两首歌  呵呵,0
烂片,0
韩寒 抄袭 这口 饭 吃 得 可 真 难看  买个 版权 不好 么 ？ 目前 唯一 的 一星  中 二 时期 很 喜欢 也 没商量,0
韩寒 就是 个 low 逼 ， 直男癌,0
韩寒 真是 … …,0
看 了 半小时 实在 坐 不 下去 了 ， 绝对 的 烂片 ， 韩寒 还是 写 你 的 作文 去 吧 ， 别 再 骗钱 了 行 吗 ？ 这年头 是 个人 有点 名气 拍个 视频 就 能 当 电影 了 ？ 春节 贺岁 档 那些 电影   一个 比 一个 烂,0
主题 并 不 高明 ， 故事 全 无诚意 ， 笑 梗 毫无 亮点 ， 实在 的 圈钱 之作 ， 第一次 看 这样 平庸 的 韩寒 ？,0
垃圾,0
垃圾 片,0
既然 豆瓣 可以 不看 就 打分 ， 那 为什么 大家 还 这么 相信 豆瓣 评分 ， 中国 电影 之 悲哀,0
真想 抽 当初 买票 的 自己 一大 巴掌,0
卖 情怀 但是 卖 的 很 难看 的 烂片 ，,0
笑点 一点 都 不好 笑 ， 很 尴尬 好 嘛 ～,0
剧情 七拼八凑 ， 人物 孤零零 的 存在 在 一个 小镇 ， 无 骨血 无 肉身 ， 整部 电影 就 为了 讲 那 几个 笑话 吧 ， 倒 是 把 人 逗笑 了 。 还 不如 看 93 年 的 新 难兄难弟 。,0
可以 给 负分 吗 ？ 不能 给 的话 下 一次 同 导演 作品 我 直接 不看 就 打 最低 分好 了,0
只想 说 ， 豆瓣 评分 低 的 肯定 是 烂片 ， 评分 高 的 不 一定 是 好片 ， 硬着头皮 看 完 ， 总抱 着 一点点 希望 ， 然而 能 做到 只有 当 音乐声 响起 的 时候 快步 离开 。,0
。 。 。,0
这部 剧给 我 的 感觉 就是 ： 我 怎么 又 看 了 一遍 后会无期 ？ ？ 80 后 除了 打架 就 没有 什么 可以 拍 出彩 的 了 吗 ？ ？ 抄袭 也 不能 完全 算 ， 只是 倘若 只是 借鉴 想 达到 的 效果 也 完全 没 达到 ， 全篇 只有 赵丽颖 的 颜值 能 让 人 坚持 下来 （ 虽然 也 坚持 不了 多久 ？ ？ 我知道 之后 一定 会 有人 说 ： 那 你 去 写 啊 ！ 2333 ）,0
很烂 ， 韩寒 也 就 一装 逼 的 骗钱 狂魔,0
漏洞百出 ， 经不起 推敲 ， 为什么 过年 我 就要 忍受 这样 的 弱智 片 ， 一星 鼓励 邓超 那 浮夸 的 演技 .,0
彭于晏 很帅 ， 邓超 演技 不错 ， 给 一分 是因为 渣 男 韩寒 和 实在 没什么 演技 颜值 还要 硬 吹 的 赵丽颖,0
深刻 明白 在 正月 上映 的 电影 都 是 烂片,0
豆瓣 为啥 不能 给 0 星 ？ 单看 影片 确实 值得 给 三星 ， 但是 不好意思 。 我 就 不 给 。,0
万 和 天宜 这个 网剧 做 的 这么 好 了 ， 闹 不 懂 你们 还 在 牢骚 什么 ？ ？ ？ ？ ？,0
是 谁 说 的 “ 什么 坛 最后 都 是 祭坛 ， 什么 圈 最后 都 是 花圈 ” ？ 摆 出 一副 漠视 名利 的 少年 鲁迅 的 摸样 / / 退潮 以后 ， 原来 比 谁 都 追名逐利 ， 揖让 豪门,0
如果说 郭四娘 是 服务 城乡 结合部 对 上流社会 有着 不切实际 的 幻想 的 未成年 少女 ， 韩寒 则 是 服务 城乡 结合部 的 直 男癌 的 。,0
粉丝 电影 。,0
一星 送 想象 …,0
这 电影 就是 为了 骗 你 钱,0
矫揉造作,0
说实话 ， 你们 是 有人 在 故意 刷分 吧 ， 这片 还有 6 分 ？ 故事情节 完整 吗 ？ 昨晚 我 看到 现在 已经 上 了 3 趟 厕所 了 ， 垃圾 ， 不能 再 垃圾 了 ， 连 叙述 都 不 清楚 ！ 韩寒 已经 在 向 郭敬明 看齐 了 。 你 缺钱 写 小说 去 吧 ， 我们 都 会 买 正版 的 ， 何必 要 拍 这部 电影 ， 你 也 不 高兴 ， 我们 看 的 也 不 高兴 ？,0
不 知道 要 表达 什么,0
看过 了 ， 确实 笑点 很多 ， 但是 分数 虚高 ， 并 不 好看 ， 骨子里 还是 那种 直 男 ， 所以 最后 女 主产 后 抑郁 死 了,0
是不是 捧 的 有点 没边 了,0
说实话 ， 赵丽颖 不 适合 喜剧 啊,0
这个 梗 完全 抄袭 新 难兄难弟 ， 李嘉诚 马化腾 。 算了 我 不 骂 四娘 了 ， 难兄 有 双 影帝 双影 后撑 演技 ， 这个 有 什么 ？ 水军 ？ 老梗 ？ 脑残粉 ？ 还是 演技 爆棚 的 邓超 ？,0
拍电影 就 好好 拍 ， 不行 就别 去 开车 ， 好好 学学 怎么 做 导演 ， 凑 你 麻痹 小 段子 有意思 ？,0
直男癌 晚期 患者 韩寒 。,0
看 了 更 觉得 韩寒 确实 是 一个 彻头彻尾 不知羞耻 的 大骗子 。,0
过于 抒情 太 刻意 看着 没有 啥 感觉 。,0
什么 鬼 ？,0
新新 难兄难弟 嘛 。 。 。,0
看 完 没 心情 了,0
每个 人有 每个 人 的 看法 很 正常  身边 没 人 因为 什么 女权主义 给 影片 烂评  烂 在 故事 本身 的 漏洞  那么 多好 演员 和 勉强 的 段子 都 无法 掩盖 故事 本身 的 诟病,0
少 买点 营销 ， 多花点 功夫 在 电影吧,0
煽情 烂片,0
看 的 好 无聊 ， 不 知道 他 在 说 什么 ， 还有 一个 电影院 的 人 都 在 笑 什么 ？ 梗 这么 老 有意思 ？,0
四平八稳 的 一星 发挥,0
特别 难看 浪费 票钱 。  豆瓣 评分 水份 太 大,0
两个 字 垃圾,0
真的 算 烂片,0
太 浮夸,0
不看 电影 ， 给 韩寒 人品 一分 ， 就 酱,0
这个 电影 不 值得 7 分 ， 想不到 成龙 大哥 跟 宝宝 跟 星爷 的 分 ， 那么 低 ， 想不通 ， 好 电影 怎么 都 分 那么 低 ？ 水军 太强大 了 吗 吧 ，,0
不想 再吐槽 国产 的 电影 了,0
刚刚 看过 ， 一个 词 ： 烂片 。 身边 的 女性朋友 看 的 都 睡着 了 。 刚 开始 的 一部分 很 出彩 。,0
看 了 一半 玩 手机 ， 看 得 差不多 了 ， 发现 两星 给 多 了,0
一星 给 超哥 ， 导演 负分,0
看不懂,0
别 再 模仿 了,0
直男癌 差评  赵丽颖 差评  为什么 不能 给 半星,0
说实话 这部 片子 粗制滥造  无论 请 多少 影评 水军 也 改变 不了  这一 形象  韩寒 擅长 踩 着 别人 上位 的 宣传 手段  当年 就是 踩 着 郭敬明  不 知道 这 一次 还有 没有 郭敬明 给 你 踩  这部 电影 无所不用其极 的 宣传 手段  无论是 穿越 之后 与 母亲 的 禁忌  一段 床戏 图片 全网 推送  还是 韩寒 备受 争议 的 直 男癌 歌词  都 让 人 倒 尽 胃口,0
呃 想 给 零星 。 不过 看个 热闹 嘛 ， 给 身边 那位 咯 。,0
很 垃圾 的 片 ， 浪费 钱 ， 浪费时间,0
除了 几个 笑点 ， 我 觉得 这片 完全 没有 达到 我 的 期待值 。 什么 逻辑 ， 什么 叙事 。 。,0
比起 郭敬明 明目张胆 的 骗钱 我 觉得 韩寒 披着 伪 文艺 外衣 的 来 圈钱 更让人 觉得 恶心 不已,0
