sentence,label
就 喜欢 这样 的 文艺片 ，,1
我 还是 没有 豆瓣 网友 这么 高 的 水平 ， 看不到 什么 剪辑 混乱 故事 叙述 不清 的 层次 ， 这么 多年 我 的 水平 也 一直 很 肤浅 ， 判断 一个 电影 好坏 的 标准 就是 看 它 能 不能 让 我 感动 ， 乘风破浪 它 让 我 感动 了 ， 我 觉得 它 是 一个 好 的 电影 ， 韩寒 没有 让 人 失望 。 关于 直男癌 这个 说法 ， 抱歉 我 作为 一个 女生 ， 并 没有 看出 任何 直男癌 的 成分 。,1
并 不是 很直 男癌 啊 ？ 难道 是我太 直 男 了,1
讲 的 是 一个男孩 喜欢 赛车  比赛 得 了 冠军  他爸 反对  他开 着 赛车 带 着 他 爸 回家 的 时候 出车祸 了  然后 就 会 到 了 他 爸爸 那个年代  发生 了 很多 有趣 的 事,1
知道 韩寒 有些 赛车 的 情节 、 兄弟 义气 的 情节 、 妓女 边缘 人物 的 情节 等等 一堆 情节 … … 可是 中国 是 没 导演 了 吗 ？ 还有 王宝强 的 片 也 是 ， 看 完 都 要 回家 撸 几个 经典 老片 洗洗 眼 ！,1
故事 还是 挺 喜欢 的 ， 很 有 80 后 的 视觉 感 ， 有些 细节 待 加强 处理 ， 总体 来说 ， 值得 去 看,1
总 想 感慨 点 什么 ， 但是 看 完 又 不 知道 该 感慨 啥,1
在 电影院 看到 的 最 好看 的 电影 。 良心 评价 7.5 - 8 分 。 看到 豆瓣 评分 6.9 就 给 了 10 分 。 属于 买票 看 电影 完全 不会 后悔 ， 能 从头 看到 尾 也 能 从头 笑 到 尾 的 电影 。,1
傻 逼 太 多 ， 各种 脑残 黑子 ， 说实话 值得 看 ， 吊打 其他 春节 档 ， 给 5 星 平衡 一下 吧,1
第一次 一个 人去 电影院 看 电影 。 演员 都 选 的 很 不错 哦 ， 把 一个 三星 的 剧情 演到 了 4 星 ， 李荣浩 好 可爱 哈哈哈 ，,1
笑点 里 穿插着 泪点 ， 回味 起来 没有 《 后会无期 》 那么 文艺 ， 只 记得 几段 配乐 非常 棒,1
可以 的  青春,1
就 喜欢 这样 的 文艺片 ，,1
我 还是 没有 豆瓣 网友 这么 高 的 水平 ， 看不到 什么 剪辑 混乱 故事 叙述 不清 的 层次 ， 这么 多年 我 的 水平 也 一直 很 肤浅 ， 判断 一个 电影 好坏 的 标准 就是 看 它 能 不能 让 我 感动 ， 乘风破浪 它 让 我 感动 了 ， 我 觉得 它 是 一个 好 的 电影 ， 韩寒 没有 让 人 失望 。 关于 直男癌 这个 说法 ， 抱歉 我 作为 一个 女生 ， 并 没有 看出 任何 直男癌 的 成分 。,1
并 不是 很直 男癌 啊 ？ 难道 是我太 直 男 了,1
讲 的 是 一个男孩 喜欢 赛车  比赛 得 了 冠军  他爸 反对  他开 着 赛车 带 着 他 爸 回家 的 时候 出车祸 了  然后 就 会 到 了 他 爸爸 那个年代  发生 了 很多 有趣 的 事,1
知道 韩寒 有些 赛车 的 情节 、 兄弟 义气 的 情节 、 妓女 边缘 人物 的 情节 等等 一堆 情节 … … 可是 中国 是 没 导演 了 吗 ？ 还有 王宝强 的 片 也 是 ， 看 完 都 要 回家 撸 几个 经典 老片 洗洗 眼 ！,1
故事 还是 挺 喜欢 的 ， 很 有 80 后 的 视觉 感 ， 有些 细节 待 加强 处理 ， 总体 来说 ， 值得 去 看,1
总 想 感慨 点 什么 ， 但是 看 完 又 不 知道 该 感慨 啥,1
在 电影院 看到 的 最 好看 的 电影 。 良心 评价 7.5 - 8 分 。 看到 豆瓣 评分 6.9 就 给 了 10 分 。 属于 买票 看 电影 完全 不会 后悔 ， 能 从头 看到 尾 也 能 从头 笑 到 尾 的 电影 。,1
傻 逼 太 多 ， 各种 脑残 黑子 ， 说实话 值得 看 ， 吊打 其他 春节 档 ， 给 5 星 平衡 一下 吧,1
第一次 一个 人去 电影院 看 电影 。 演员 都 选 的 很 不错 哦 ， 把 一个 三星 的 剧情 演到 了 4 星 ， 李荣浩 好 可爱 哈哈哈 ，,1
笑点 里 穿插着 泪点 ， 回味 起来 没有 《 后会无期 》 那么 文艺 ， 只 记得 几段 配乐 非常 棒,1
可以 的  青春,1
就 喜欢 这样 的 文艺片 ，,1
我 还是 没有 豆瓣 网友 这么 高 的 水平 ， 看不到 什么 剪辑 混乱 故事 叙述 不清 的 层次 ， 这么 多年 我 的 水平 也 一直 很 肤浅 ， 判断 一个 电影 好坏 的 标准 就是 看 它 能 不能 让 我 感动 ， 乘风破浪 它 让 我 感动 了 ， 我 觉得 它 是 一个 好 的 电影 ， 韩寒 没有 让 人 失望 。 关于 直男癌 这个 说法 ， 抱歉 我 作为 一个 女生 ， 并 没有 看出 任何 直男癌 的 成分 。,1
并 不是 很直 男癌 啊 ？ 难道 是我太 直 男 了,1
讲 的 是 一个男孩 喜欢 赛车  比赛 得 了 冠军  他爸 反对  他开 着 赛车 带 着 他 爸 回家 的 时候 出车祸 了  然后 就 会 到 了 他 爸爸 那个年代  发生 了 很多 有趣 的 事,1
知道 韩寒 有些 赛车 的 情节 、 兄弟 义气 的 情节 、 妓女 边缘 人物 的 情节 等等 一堆 情节 … … 可是 中国 是 没 导演 了 吗 ？ 还有 王宝强 的 片 也 是 ， 看 完 都 要 回家 撸 几个 经典 老片 洗洗 眼 ！,1
故事 还是 挺 喜欢 的 ， 很 有 80 后 的 视觉 感 ， 有些 细节 待 加强 处理 ， 总体 来说 ， 值得 去 看,1
总 想 感慨 点 什么 ， 但是 看 完 又 不 知道 该 感慨 啥,1
在 电影院 看到 的 最 好看 的 电影 。 良心 评价 7.5 - 8 分 。 看到 豆瓣 评分 6.9 就 给 了 10 分 。 属于 买票 看 电影 完全 不会 后悔 ， 能 从头 看到 尾 也 能 从头 笑 到 尾 的 电影 。,1
